# id,z0,z1
240,0.99998,0.00002
241,0.00002,0.99998
242,0.99998,0.00002
243,0.99998,0.00002
244,0.99998,0.00002
245,0.99998,0.00002
246,0.00002,0.99998
247,0.99998,0.00002
248,0.00002,0.99998
249,0.00002,0.99998
250,0.00002,0.99998
251,0.99998,0.00002
252,0.99998,0.00002
253,0.99998,0.00002
254,0.00002,0.99998
255,0.99998,0.00002
256,0.99998,0.00002
257,0.99998,0.00002
258,0.00002,0.99998
259,0.99998,0.00002
260,0.99998,0.00002
261,0.50000,0.50000
262,0.99998,0.00002
263,0.99998,0.00002
264,0.99998,0.00002
265,0.99998,0.00002
266,0.99998,0.00002
267,0.99998,0.00002
268,0.99998,0.00002
269,0.99998,0.00002
270,0.99998,0.00002
271,0.99998,0.00002
272,0.99998,0.00002
273,0.99998,0.00002
274,0.99998,0.00002
275,0.00002,0.99998
276,0.00002,0.99998
277,0.99998,0.00002
278,0.00002,0.99998
279,0.99998,0.00002
280,0.99998,0.00002
281,0.99998,0.00002
282,0.99998,0.00002
283,0.99998,0.00002
284,0.99998,0.00002
285,0.99998,0.00002
286,0.00002,0.99998
287,0.99998,0.00002
288,0.99998,0.00002
289,0.99998,0.00002
290,0.99998,0.00002
291,0.00002,0.99998
292,0.00002,0.99998
293,0.99998,0.00002
294,0.00002,0.99998
295,0.99998,0.00002
296,0.00002,0.99998
297,0.00002,0.99998
298,0.00002,0.99998
299,0.99998,0.00002
300,0.99998,0.00002
301,0.00002,0.99998
302,0.00002,0.99998
303,0.99998,0.00002
304,0.00002,0.99998
305,0.00002,0.99998
306,0.00002,0.99998
307,0.99998,0.00002
308,0.99998,0.00002
309,0.00002,0.99998
310,0.99998,0.00002
311,0.00002,0.99998
312,0.00002,0.99998
313,0.00002,0.99998
314,0.99998,0.00002
315,0.99998,0.00002
316,0.00002,0.99998
317,0.00002,0.99998
318,0.99998,0.00002
319,0.50000,0.50000
320,0.00002,0.99998
321,0.99998,0.00002
322,0.99998,0.00002
323,0.00002,0.99998
324,0.00002,0.99998
325,0.00002,0.99998
326,0.00002,0.99998
327,0.00002,0.99998
328,0.00002,0.99998
329,0.99998,0.00002
330,0.00002,0.99998
331,0.99998,0.00002
332,0.99998,0.00002
333,0.99998,0.00002
334,0.99998,0.00002
335,0.00002,0.99998
336,0.00002,0.99998
337,0.99998,0.00002
338,0.99998,0.00002
339,0.99998,0.00002
340,0.99998,0.00002
341,0.00002,0.99998
342,0.99998,0.00002
343,0.99998,0.00002
344,0.00002,0.99998
345,0.99998,0.00002
346,0.50000,0.50000
347,0.00002,0.99998
348,0.99998,0.00002
349,0.00002,0.99998
350,0.00002,0.99998
351,0.00002,0.99998
352,0.99998,0.00002
353,0.00002,0.99998
354,0.00002,0.99998
355,0.99998,0.00002
356,0.99998,0.00002
357,0.99998,0.00002
358,0.00002,0.99998
359,0.99998,0.00002
360,0.00002,0.99998
361,0.00002,0.99998
362,0.99998,0.00002
363,0.99998,0.00002
364,0.00002,0.99998
365,0.00002,0.99998
366,0.00002,0.99998
367,0.00002,0.99998
368,0.99998,0.00002
369,0.99998,0.00002
370,0.00002,0.99998
371,0.99998,0.00002
372,0.99998,0.00002
373,0.00002,0.99998
374,0.00002,0.99998
375,0.00002,0.99998
376,0.00002,0.99998
377,0.00002,0.99998
378,0.00002,0.99998
379,0.99998,0.00002
380,0.99998,0.00002
381,0.00002,0.99998
382,0.99998,0.00002
383,0.50000,0.50000
384,0.99998,0.00002
385,0.99998,0.00002
386,0.00002,0.99998
387,0.99998,0.00002
388,0.99998,0.00002
389,0.00002,0.99998
390,0.00002,0.99998
391,0.00002,0.99998
392,0.99998,0.00002
393,0.99998,0.00002
394,0.99998,0.00002
395,0.50000,0.50000
396,0.99998,0.00002
397,0.99998,0.00002
398,0.00002,0.99998
399,0.00002,0.99998
400,0.00002,0.99998
401,0.99998,0.00002
402,0.00002,0.99998
403,0.00002,0.99998
404,0.00002,0.99998
405,0.00002,0.99998
406,0.00002,0.99998
407,0.00002,0.99998
408,0.00002,0.99998
409,0.99998,0.00002
410,0.00002,0.99998
411,0.99998,0.00002
412,0.00002,0.99998
413,0.00002,0.99998
414,0.00002,0.99998
415,0.99998,0.00002
416,0.00002,0.99998
417,0.00002,0.99998
418,0.99998,0.00002
419,0.99998,0.00002
420,0.99998,0.00002
421,0.99998,0.00002
422,0.50000,0.50000
423,0.99998,0.00002
424,0.00002,0.99998
425,0.99998,0.00002
426,0.99998,0.00002
427,0.00002,0.99998
428,0.99998,0.00002
429,0.99998,0.00002
430,0.99998,0.00002
431,0.00002,0.99998
432,0.00002,0.99998
433,0.00002,0.99998
434,0.00002,0.99998
435,0.99998,0.00002
436,0.00002,0.99998
437,0.99998,0.00002
438,0.00002,0.99998
439,0.99998,0.00002
440,0.99998,0.00002
441,0.99998,0.00002
442,0.99998,0.00002
443,0.99998,0.00002
444,0.00002,0.99998
445,0.99998,0.00002
446,0.99998,0.00002
447,0.99998,0.00002
448,0.99998,0.00002
449,0.00002,0.99998
450,0.99998,0.00002
451,0.00002,0.99998
452,0.00002,0.99998
453,0.00002,0.99998
454,0.00002,0.99998
455,0.50000,0.50000
456,0.00002,0.99998
457,0.99998,0.00002
458,0.99998,0.00002
459,0.00002,0.99998
460,0.00002,0.99998
461,0.00002,0.99998
462,0.00002,0.99998
463,0.99998,0.00002
464,0.00002,0.99998
465,0.00002,0.99998
466,0.99998,0.00002
467,0.99998,0.00002
468,0.99998,0.00002
469,0.99998,0.00002
470,0.00002,0.99998
471,0.99998,0.00002
472,0.00002,0.99998
473,0.00002,0.99998
474,0.00002,0.99998
475,0.00002,0.99998
476,0.99998,0.00002
477,0.00002,0.99998
478,0.99998,0.00002
479,0.99998,0.00002
480,0.99998,0.00002
481,0.00002,0.99998
482,0.00002,0.99998
483,0.00002,0.99998
484,0.99998,0.00002
485,0.00002,0.99998
486,0.99998,0.00002
487,0.99998,0.00002
488,0.00002,0.99998
489,0.00002,0.99998
490,0.00002,0.99998
491,0.00002,0.99998
492,0.99998,0.00002
493,0.50000,0.50000
494,0.99998,0.00002
495,0.99998,0.00002
496,0.00002,0.99998
497,0.00002,0.99998
498,0.99998,0.00002
499,0.00002,0.99998
500,0.50000,0.50000
501,0.50000,0.50000
502,0.50000,0.50000
503,0.50000,0.50000
504,0.50000,0.50000
505,0.50000,0.50000
506,0.50000,0.50000
507,0.50000,0.50000
508,0.50000,0.50000
509,0.50000,0.50000
510,0.50000,0.50000
511,0.50000,0.50000
512,0.50000,0.50000
513,0.50000,0.50000
514,0.50000,0.50000
515,0.50000,0.50000
516,0.50000,0.50000
517,0.50000,0.50000
518,0.50000,0.50000
519,0.50000,0.50000
520,0.50000,0.50000
521,0.50000,0.50000
522,0.50000,0.50000
523,0.50000,0.50000
524,0.50000,0.50000
525,0.50000,0.50000
526,0.50000,0.50000
527,0.50000,0.50000
528,0.50000,0.50000
529,0.50000,0.50000
530,0.50000,0.50000
531,0.50000,0.50000
532,0.50000,0.50000
533,0.50000,0.50000
534,0.50000,0.50000
535,0.50000,0.50000
536,0.50000,0.50000
537,0.50000,0.50000
538,0.50000,0.50000
539,0.50000,0.50000
540,0.50000,0.50000
541,0.50000,0.50000
542,0.50000,0.50000
543,0.50000,0.50000
544,0.50000,0.50000
545,0.50000,0.50000
546,0.50000,0.50000
547,0.50000,0.50000
548,0.50000,0.50000
549,0.50000,0.50000
550,0.50000,0.50000
551,0.50000,0.50000
552,0.50000,0.50000
553,0.50000,0.50000
554,0.50000,0.50000
555,0.50000,0.50000
556,0.50000,0.50000
557,0.50000,0.50000
558,0.50000,0.50000
559,0.50000,0.50000
560,0.50000,0.50000
561,0.50000,0.50000
562,0.50000,0.50000
563,0.50000,0.50000
564,0.50000,0.50000
565,0.50000,0.50000
566,0.50000,0.50000
567,0.50000,0.50000
568,0.50000,0.50000
569,0.50000,0.50000
570,0.50000,0.50000
571,0.50000,0.50000
572,0.50000,0.50000
573,0.50000,0.50000
574,0.50000,0.50000
575,0.50000,0.50000
576,0.50000,0.50000
577,0.50000,0.50000
578,0.50000,0.50000
579,0.50000,0.50000
580,0.50000,0.50000
581,0.50000,0.50000
582,0.50000,0.50000
583,0.50000,0.50000
584,0.50000,0.50000
585,0.50000,0.50000
586,0.50000,0.50000
587,0.50000,0.50000
588,0.50000,0.50000
589,0.50000,0.50000
590,0.50000,0.50000
591,0.50000,0.50000
592,0.50000,0.50000
593,0.50000,0.50000
594,0.50000,0.50000
595,0.50000,0.50000
596,0.50000,0.50000
597,0.50000,0.50000
598,0.50000,0.50000
599,0.50000,0.50000
600,0.50000,0.50000
601,0.50000,0.50000
602,0.50000,0.50000
603,0.50000,0.50000
604,0.50000,0.50000
605,0.50000,0.50000
606,0.50000,0.50000
607,0.50000,0.50000
608,0.50000,0.50000
609,0.50000,0.50000
610,0.50000,0.50000
611,0.50000,0.50000
612,0.50000,0.50000
613,0.50000,0.50000
614,0.50000,0.50000
615,0.50000,0.50000
616,0.50000,0.50000
617,0.50000,0.50000
618,0.50000,0.50000
619,0.50000,0.50000
620,0.50000,0.50000
621,0.50000,0.50000
622,0.50000,0.50000
623,0.50000,0.50000
624,0.50000,0.50000
625,0.50000,0.50000
626,0.50000,0.50000
627,0.50000,0.50000
628,0.50000,0.50000
629,0.50000,0.50000
630,0.50000,0.50000
631,0.50000,0.50000
632,0.50000,0.50000
633,0.50000,0.50000
634,0.50000,0.50000
635,0.50000,0.50000
636,0.50000,0.50000
637,0.50000,0.50000
638,0.50000,0.50000
639,0.50000,0.50000
640,0.50000,0.50000
641,0.50000,0.50000
642,0.50000,0.50000
643,0.50000,0.50000
644,0.50000,0.50000
645,0.50000,0.50000
646,0.50000,0.50000
647,0.50000,0.50000
648,0.50000,0.50000
649,0.50000,0.50000
650,0.50000,0.50000
651,0.50000,0.50000
652,0.50000,0.50000
653,0.50000,0.50000
654,0.50000,0.50000
655,0.50000,0.50000
656,0.50000,0.50000
657,0.50000,0.50000
658,0.50000,0.50000
659,0.50000,0.50000
660,0.50000,0.50000
661,0.50000,0.50000
662,0.50000,0.50000
663,0.50000,0.50000
664,0.50000,0.50000
665,0.50000,0.50000
666,0.50000,0.50000
667,0.50000,0.50000
668,0.50000,0.50000
669,0.50000,0.50000
670,0.50000,0.50000
671,0.50000,0.50000
672,0.50000,0.50000
673,0.50000,0.50000
674,0.50000,0.50000
675,0.50000,0.50000
676,0.50000,0.50000
677,0.50000,0.50000
678,0.50000,0.50000
679,0.50000,0.50000
680,0.50000,0.50000
681,0.50000,0.50000
682,0.50000,0.50000
683,0.50000,0.50000
684,0.50000,0.50000
685,0.50000,0.50000
686,0.50000,0.50000
687,0.50000,0.50000
688,0.50000,0.50000
689,0.50000,0.50000
690,0.50000,0.50000
691,0.50000,0.50000
692,0.50000,0.50000
693,0.50000,0.50000
694,0.50000,0.50000
695,0.50000,0.50000
696,0.50000,0.50000
697,0.50000,0.50000
698,0.50000,0.50000
699,0.50000,0.50000
700,0.50000,0.50000
701,0.50000,0.50000
702,0.50000,0.50000
703,0.50000,0.50000
704,0.50000,0.50000
705,0.50000,0.50000
706,0.50000,0.50000
707,0.50000,0.50000
708,0.50000,0.50000
709,0.50000,0.50000
710,0.50000,0.50000
711,0.50000,0.50000
712,0.50000,0.50000
713,0.50000,0.50000
714,0.50000,0.50000
715,0.50000,0.50000
716,0.50000,0.50000
717,0.50000,0.50000
718,0.50000,0.50000
719,0.50000,0.50000
720,0.50000,0.50000
721,0.50000,0.50000
722,0.50000,0.50000
723,0.50000,0.50000
724,0.50000,0.50000
725,0.50000,0.50000
726,0.50000,0.50000
727,0.50000,0.50000
728,0.50000,0.50000
729,0.50000,0.50000
730,0.50000,0.50000
731,0.50000,0.50000
732,0.50000,0.50000
733,0.50000,0.50000
734,0.50000,0.50000
735,0.50000,0.50000
736,0.50000,0.50000
737,0.50000,0.50000
738,0.50000,0.50000
739,0.50000,0.50000
740,0.50000,0.50000
741,0.50000,0.50000
742,0.50000,0.50000
743,0.50000,0.50000
744,0.50000,0.50000
745,0.50000,0.50000
746,0.50000,0.50000
747,0.50000,0.50000
748,0.50000,0.50000
749,0.50000,0.50000
750,0.50000,0.50000
751,0.50000,0.50000
752,0.50000,0.50000
753,0.50000,0.50000
754,0.50000,0.50000
755,0.50000,0.50000
756,0.50000,0.50000
757,0.50000,0.50000
758,0.50000,0.50000
759,0.50000,0.50000
760,0.50000,0.50000
761,0.50000,0.50000
762,0.50000,0.50000
763,0.50000,0.50000
764,0.50000,0.50000
765,0.50000,0.50000
766,0.50000,0.50000
767,0.50000,0.50000
768,0.50000,0.50000
769,0.50000,0.50000
770,0.50000,0.50000
771,0.50000,0.50000
772,0.50000,0.50000
773,0.50000,0.50000
774,0.50000,0.50000
775,0.50000,0.50000
776,0.50000,0.50000
777,0.50000,0.50000
778,0.50000,0.50000
779,0.50000,0.50000
780,0.50000,0.50000
781,0.50000,0.50000
782,0.50000,0.50000
783,0.50000,0.50000
784,0.50000,0.50000
785,0.50000,0.50000
786,0.50000,0.50000
787,0.50000,0.50000
788,0.50000,0.50000
789,0.50000,0.50000
790,0.50000,0.50000
791,0.50000,0.50000
792,0.50000,0.50000
793,0.50000,0.50000
794,0.50000,0.50000
795,0.50000,0.50000
796,0.50000,0.50000
797,0.50000,0.50000
798,0.50000,0.50000
799,0.50000,0.50000
800,0.50000,0.50000
801,0.50000,0.50000
802,0.50000,0.50000
803,0.50000,0.50000
804,0.50000,0.50000
805,0.50000,0.50000
806,0.50000,0.50000
807,0.50000,0.50000
808,0.50000,0.50000
809,0.50000,0.50000
810,0.50000,0.50000
811,0.50000,0.50000
812,0.50000,0.50000
813,0.50000,0.50000
814,0.50000,0.50000
815,0.50000,0.50000
816,0.50000,0.50000
817,0.50000,0.50000
818,0.50000,0.50000
819,0.50000,0.50000
820,0.50000,0.50000
821,0.50000,0.50000
822,0.50000,0.50000
823,0.50000,0.50000
824,0.50000,0.50000
825,0.50000,0.50000
826,0.50000,0.50000
827,0.50000,0.50000
828,0.50000,0.50000
829,0.50000,0.50000
830,0.50000,0.50000
831,0.50000,0.50000
832,0.50000,0.50000
833,0.50000,0.50000
834,0.50000,0.50000
835,0.50000,0.50000
836,0.50000,0.50000
837,0.50000,0.50000
838,0.50000,0.50000
839,0.50000,0.50000
840,0.50000,0.50000
841,0.50000,0.50000
842,0.50000,0.50000
843,0.50000,0.50000
844,0.50000,0.50000
845,0.50000,0.50000
846,0.50000,0.50000
847,0.50000,0.50000
848,0.50000,0.50000
849,0.50000,0.50000
850,0.50000,0.50000
851,0.50000,0.50000
852,0.50000,0.50000
853,0.50000,0.50000
854,0.50000,0.50000
855,0.50000,0.50000
856,0.50000,0.50000
857,0.50000,0.50000
858,0.50000,0.50000
859,0.50000,0.50000
860,0.50000,0.50000
861,0.50000,0.50000
862,0.50000,0.50000
863,0.50000,0.50000
864,0.50000,0.50000
865,0.50000,0.50000
866,0.50000,0.50000
867,0.50000,0.50000
868,0.50000,0.50000
869,0.50000,0.50000
870,0.50000,0.50000
871,0.50000,0.50000
872,0.50000,0.50000
873,0.50000,0.50000
874,0.50000,0.50000
875,0.50000,0.50000
876,0.50000,0.50000
877,0.50000,0.50000
878,0.50000,0.50000
879,0.50000,0.50000
880,0.50000,0.50000
881,0.50000,0.50000
882,0.50000,0.50000
883,0.50000,0.50000
884,0.50000,0.50000
885,0.50000,0.50000
886,0.50000,0.50000
887,0.50000,0.50000
888,0.50000,0.50000
889,0.50000,0.50000
890,0.50000,0.50000
891,0.50000,0.50000
892,0.50000,0.50000
893,0.50000,0.50000
894,0.50000,0.50000
895,0.50000,0.50000
896,0.50000,0.50000
897,0.50000,0.50000
898,0.50000,0.50000
899,0.50000,0.50000
900,0.50000,0.50000
901,0.50000,0.50000
902,0.50000,0.50000
903,0.50000,0.50000
904,0.50000,0.50000
905,0.50000,0.50000
906,0.50000,0.50000
907,0.50000,0.50000
908,0.50000,0.50000
909,0.50000,0.50000
910,0.50000,0.50000
911,0.50000,0.50000
912,0.50000,0.50000
913,0.50000,0.50000
914,0.50000,0.50000
915,0.50000,0.50000
916,0.50000,0.50000
917,0.50000,0.50000
918,0.50000,0.50000
919,0.50000,0.50000
920,0.50000,0.50000
921,0.50000,0.50000
922,0.50000,0.50000
923,0.50000,0.50000
924,0.50000,0.50000
925,0.50000,0.50000
926,0.50000,0.50000
927,0.50000,0.50000
928,0.50000,0.50000
929,0.50000,0.50000
930,0.50000,0.50000
931,0.50000,0.50000
932,0.50000,0.50000
933,0.50000,0.50000
934,0.50000,0.50000
935,0.50000,0.50000
936,0.50000,0.50000
937,0.50000,0.50000
938,0.50000,0.50000
939,0.50000,0.50000
940,0.50000,0.50000
941,0.50000,0.50000
942,0.50000,0.50000
943,0.50000,0.50000
944,0.50000,0.50000
945,0.50000,0.50000
946,0.50000,0.50000
947,0.50000,0.50000
948,0.50000,0.50000
949,0.50000,0.50000
950,0.50000,0.50000
951,0.50000,0.50000
952,0.50000,0.50000
953,0.50000,0.50000
954,0.50000,0.50000
955,0.50000,0.50000
956,0.50000,0.50000
957,0.50000,0.50000
958,0.50000,0.50000
959,0.50000,0.50000
960,0.50000,0.50000
961,0.50000,0.50000
962,0.50000,0.50000
963,0.50000,0.50000
964,0.50000,0.50000
965,0.50000,0.50000
966,0.50000,0.50000
967,0.50000,0.50000
968,0.50000,0.50000
969,0.50000,0.50000
970,0.50000,0.50000
971,0.50000,0.50000
972,0.50000,0.50000
973,0.50000,0.50000
974,0.50000,0.50000
975,0.50000,0.50000
976,0.50000,0.50000
977,0.50000,0.50000
978,0.50000,0.50000
979,0.50000,0.50000
980,0.50000,0.50000
981,0.50000,0.50000
982,0.50000,0.50000
983,0.50000,0.50000
984,0.50000,0.50000
985,0.50000,0.50000
986,0.50000,0.50000
987,0.50000,0.50000
988,0.50000,0.50000
989,0.50000,0.50000
990,0.50000,0.50000
991,0.50000,0.50000
992,0.50000,0.50000
993,0.50000,0.50000
994,0.50000,0.50000
995,0.50000,0.50000
996,0.50000,0.50000
997,0.50000,0.50000
998,0.50000,0.50000
999,0.50000,0.50000
